epoch,train_loss,train_time,val_loss,val_acc
1,0.4685832553545634,126.86223220825195,0.337343565037376,0.8925
2,0.15153367302815118,125.11373472213745,0.38752034554356024,0.8923684210526316
3,0.07047336676915486,125.2163462638855,0.5424888335403644,0.8832894736842105
4,0.03697748669783274,124.73279142379761,0.6032417590367166,0.8823684210526316
5,0.025710147888585926,124.53734874725342,0.5660323999430004,0.8860526315789473
6,0.021881260996870697,123.86949419975281,0.5917191950271005,0.8907894736842106
7,0.01786655623683085,124.94464182853699,0.594136598549391,0.8997368421052632
8,0.016777610967618723,124.85715007781982,0.6011114056486833,0.8982894736842105
9,0.01492610890250653,125.0925943851471,0.6660980121085518,0.8956578947368421
10,0.013767626965325326,125.24353003501892,0.5955018418086202,0.8936842105263157
11,0.013047391450141246,124.58652710914612,0.727032169668298,0.8852631578947369
12,0.01191746910364988,123.9273567199707,0.7019220170849247,0.8922368421052631
13,0.010963752794684842,124.36298775672913,0.6230363550311641,0.8978947368421053
14,0.010895118516031652,126.12030816078186,0.5712881605248702,0.8998684210526315
15,0.009761352216964588,125.83758473396301,0.6753995031432102,0.8968421052631579
16,0.010081502304583167,124.57170367240906,0.6514283591822574,0.8976315789473684
17,0.00903415298659044,125.98050022125244,0.6556365949542899,0.8971052631578947
18,0.008496703026373871,125.68397665023804,0.6743623883473245,0.896578947368421
19,0.008561870261638736,124.540194272995,0.6722412984622153,0.8990789473684211
20,0.009028889921105777,124.91475653648376,0.6612548975568069,0.8918421052631579
