epoch,train_loss,train_time,val_loss,val_acc
1,0.6901030253141355,3.5637824535369873,0.6550860147285461,0.61356
2,0.6383216237410521,3.2093887329101562,0.6197338541603088,0.65388
3,0.5963926203739949,3.1483662128448486,0.57771154712677,0.69664
4,0.5549624427770957,3.2687976360321045,0.552199928188324,0.715
5,0.5353395757002708,3.349864959716797,0.531151508731842,0.72808
6,0.5153821430145166,3.091608762741089,0.5248346199226379,0.73308
7,0.49884705742200214,3.105736255645752,0.5094241284561157,0.74428
8,0.4759353796641032,3.129098892211914,0.5382820101070404,0.72332
9,0.4688840519159268,3.1838021278381348,0.5019281989479065,0.75256
10,0.45768088530271483,3.2256155014038086,0.49787155696868896,0.75536
11,0.4480517945228479,3.187080144882202,0.4941210240936279,0.75804
12,0.4363263531373097,3.219651937484741,0.4911672536468506,0.76216
13,0.4281189784789697,3.3391714096069336,0.4861634754371643,0.7632
14,0.4197461864122978,3.319533348083496,0.48743705900192263,0.76496
15,0.4170406034359565,3.255902051925659,0.4971972823429108,0.76088
16,0.4068438886067806,3.1766161918640137,0.49216475640296936,0.76496
17,0.40449375678331423,3.171414375305176,0.4910923858165741,0.76432
18,0.3886844480649019,3.178487539291382,0.5049358895206452,0.76204
19,0.38551267293783337,3.2089626789093018,0.4994659569358826,0.76516
20,0.3739546956924292,3.148695468902588,0.5056137627601623,0.76888
