epoch,train_loss,train_time,val_loss,val_acc
1,0.6096682585155766,11.776379585266113,0.56338243806839,0.69708
2,0.4919635182611463,11.16492223739624,0.47616249704360963,0.76956
3,0.422899168313847,11.172925233840942,0.47788739862442015,0.7794
4,0.3709974599556184,11.26891016960144,0.4697748557472229,0.78108
5,0.32577473331581464,10.993856430053711,0.49145076663017273,0.78332
6,0.27392057094737293,10.946730613708496,0.49917340800285337,0.78032
7,0.21713443389031248,10.949900150299072,0.569193821849823,0.7772
8,0.16407794373470064,11.183114767074585,0.6658266614437103,0.77844
9,0.12425332991752139,11.36609959602356,0.7650112088489532,0.76528
10,0.08776930842617772,11.437344312667847,0.8966456396698952,0.76912
11,0.06896417606300012,11.349296808242798,0.9603433923816681,0.76668
12,0.061099693094017686,11.166844844818115,0.9828589214038849,0.7706
13,0.04572004362271214,11.128675937652588,1.091970341615677,0.76104
14,0.042855456536209445,11.423100471496582,1.0213660219097138,0.76668
15,0.03888903842905355,11.317460060119629,1.0343826514053345,0.76672
16,0.03244809271361847,11.060697555541992,1.2260689414787294,0.75592
17,0.03129674076680577,11.19013237953186,1.259297456512451,0.76204
18,0.027447734939486858,11.123063564300537,1.2865758549022674,0.7654
19,0.028640937225200908,11.251330375671387,1.350289317624569,0.76624
20,0.02364253355671992,11.275181770324707,1.45625142993927,0.7674
