Configuration,Dataset,Train Size,Mean Epoch Time (s),Total Time (s),Speedup,Efficiency,Throughput (sps),Final Val Acc
AGNews_1 GPU,AGNews,120000,19.53 ± 0.63,391.9,1.00x,100.0%,6143,0.886
AGNews_4 GPUs,AGNews,120000,42.33 ± 0.51,1481.9,0.46x,11.5%,2835,0.884
